"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Itambé/BA,BA,291580,16724,12583,4141,"24,76%",19544,15624,3920,"20,06%","19,00%",
Gameleiras/MG,MG,312733,3860,2878,982,"25,44%",3818,3052,766,"20,06%","21,14%",
Senador La Rocque/MA,MA,211176,11983,8442,3541,"29,55%",11095,8867,2228,"20,08%","32,04%",
Lagoinha do Piauí/PI,PI,220554,1914,1393,521,"27,22%",2301,1839,462,"20,08%","26,24%",
Granito/PE,PE,260630,4779,3483,1296,"27,12%",5442,4349,1093,"20,08%","25,94%",
Tobias Barreto/SE,SE,280740,35155,25191,9964,"28,34%",41056,32812,8244,"20,08%","29,15%",
Irauçuba/CE,CE,230610,15426,11105,4321,"28,01%",18161,14512,3649,"20,09%","28,27%",
Jaguaribara/CE,CE,230680,7799,5767,2032,"26,05%",8201,6553,1648,"20,10%","22,87%",
Muribeca/SE,SE,280430,5343,4024,1319,"24,69%",6010,4802,1208,"20,10%","18,58%",
Padre Carvalho/MG,MG,314625,3955,2912,1043,"26,37%",3916,3129,787,"20,10%","23,79%",
Camamu/BA,BA,290580,23340,17120,6220,"26,65%",22608,18062,4546,"20,11%","24,55%",
Barra/BA,BA,290270,32362,24727,7635,"23,59%",37755,30157,7598,"20,12%","14,70%",
Pé de Serra/BA,BA,292405,10139,7668,2471,"24,37%",10638,8498,2140,"20,12%","17,46%",
Centro do Guilherme/MA,MA,210315,8150,5803,2347,"28,80%",8428,6731,1697,"20,14%","30,08%",
Araguanã/MA,MA,210087,9070,6517,2553,"28,15%",8266,6600,1666,"20,15%","28,40%",
João Câmara/RN,RN,240580,22818,16707,6111,"26,78%",25716,20535,5181,"20,15%","24,77%",
Ferreiros/PE,PE,260550,8475,6065,2410,"28,44%",11946,9539,2407,"20,15%","29,14%",
Cacimba de Areia/PB,PB,250340,2698,1974,724,"26,83%",2589,2067,522,"20,16%","24,87%",
Monte Formoso/MG,MG,314315,3051,2166,885,"29,01%",3458,2761,697,"20,16%","30,51%",
Bonito/PA,PA,150160,9216,7207,2009,"21,80%",9709,7751,1958,"20,17%","7,49%",
Maturéia/PB,PB,250939,4212,3027,1185,"28,13%",4948,3950,998,"20,17%","28,31%",
Jaçanã/RN,RN,240500,5875,4241,1634,"27,81%",6314,5040,1274,"20,18%","27,45%",
Mataraca/PB,PB,250930,5047,3677,1370,"27,14%",6079,4852,1227,"20,18%","25,64%",
São Benedito/CE,CE,231230,31083,22664,8419,"27,09%",36350,29011,7339,"20,19%","25,46%",
Cansanção/BA,BA,290680,23067,16394,6673,"28,93%",29544,23578,5966,"20,19%","30,20%",
Cajapió/MA,MA,210240,7145,5317,1828,"25,58%",7750,6184,1566,"20,21%","21,02%",
Nova Brasilândia/MT,MT,510620,3424,2734,690,"20,15%",3167,2527,640,"20,21%","-0,28%",
Cachoeira do Piriá/PA,PA,150195,15860,11287,4573,"28,83%",14013,11180,2833,"20,22%","29,88%",
Carnaíba/PE,PE,260390,13499,9845,3654,"27,07%",14677,11710,2967,"20,22%","25,32%",
Serra Preta/BA,BA,293040,11506,8310,3196,"27,78%",14706,11732,2974,"20,22%","27,19%",
Frutuoso Gomes/RN,RN,240400,3264,2426,838,"25,67%",3337,2662,675,"20,23%","21,21%",
Barra do Corda/MA,MA,210160,56387,40759,15628,"27,72%",62907,50174,12733,"20,24%","26,97%",
Groaíras/CE,CE,230490,7726,5776,1950,"25,24%",8840,7051,1789,"20,24%","19,82%",
Capela/SE,SE,280130,21533,16193,5340,"24,80%",24134,19249,4885,"20,24%","18,38%",
Nova Itarana/BA,BA,292280,5177,3595,1582,"30,56%",6009,4793,1216,"20,24%","33,78%",
Itaipé/MG,MG,313230,8049,6039,2010,"24,97%",7989,6372,1617,"20,24%","18,95%",
Caém/BA,BA,290510,7258,5429,1829,"25,20%",8161,6508,1653,"20,25%","19,62%",
Centro Novo do Maranhão/MA,MA,210317,10842,8089,2753,"25,39%",11288,9000,2288,"20,27%","20,17%",
Apuiarés/CE,CE,230090,10154,7433,2721,"26,80%",10324,8230,2094,"20,28%","24,31%",
Primeira Cruz/MA,MA,210940,8568,6326,2242,"26,17%",9779,7793,1986,"20,31%","22,39%",
São José do Peixe/PI,PI,221010,2576,1802,774,"30,05%",2669,2127,542,"20,31%","32,41%",
Frei Paulo/SE,SE,280230,10153,7457,2696,"26,55%",11366,9057,2309,"20,31%","23,49%",
Alto Santo/CE,CE,230070,12171,8506,3665,"30,11%",11285,8991,2294,"20,33%","32,49%",
Riacho de Santana/RN,RN,241080,3110,2257,853,"27,43%",3379,2692,687,"20,33%","25,87%",
Camutanga/PE,PE,260360,5974,4369,1605,"26,87%",6130,4884,1246,"20,33%","24,34%",
São Domingos/SE,SE,280680,7403,4933,2470,"33,36%",8174,6512,1662,"20,33%","39,06%",
São João do Jaguaribe/CE,CE,231250,6334,4700,1634,"25,80%",5004,3986,1018,"20,34%","21,14%",
Presidente Sarney/MA,MA,210927,10984,7649,3335,"30,36%",12338,9827,2511,"20,35%","32,97%",
Ingazeira/PE,PE,260710,3312,2422,890,"26,87%",3784,3014,770,"20,35%","24,27%",
Malhada/BA,BA,292020,10910,8257,2653,"24,32%",11798,9397,2401,"20,35%","16,31%",
Passagem/PB,PB,251070,1659,1174,485,"29,23%",1930,1537,393,"20,36%","30,35%",
Capistrano/CE,CE,230290,12355,8942,3413,"27,62%",13473,10726,2747,"20,39%","26,19%",
Tangará/RN,RN,241400,10152,7434,2718,"26,77%",10382,8265,2117,"20,39%","23,84%",
Bezerros/PE,PE,260190,44883,32263,12620,"28,12%",49903,39730,10173,"20,39%","27,50%",
Macarani/BA,BA,291970,12625,9153,3472,"27,50%",17731,14116,3615,"20,39%","25,86%",
Feira da Mata/BA,BA,291077,4587,3559,1028,"22,41%",4508,3588,920,"20,41%","8,94%",
Miravânia/MG,MG,314225,3196,2366,830,"25,97%",3146,2504,642,"20,41%","21,42%",
Pedro do Rosário/MA,MA,210825,14149,10095,4054,"28,65%",17207,13694,3513,"20,42%","28,75%",
Chorozinho/CE,CE,230395,13965,9950,4015,"28,75%",15928,12675,3253,"20,42%","28,96%",
Indiaroba/SE,SE,280280,10402,7623,2779,"26,72%",12205,9710,2495,"20,44%","23,48%",
Aiquara/BA,BA,290060,3435,2619,816,"23,76%",3600,2864,736,"20,44%","13,94%",
Monção/MA,MA,210690,20048,14523,5525,"27,56%",19792,15744,4048,"20,45%","25,79%",
Remanso/BA,BA,292600,28044,20346,7698,"27,45%",31672,25194,6478,"20,45%","25,49%",
Apodi/RN,RN,240100,27000,20545,6455,"23,91%",29673,23603,6070,"20,46%","14,44%",
Vila Flor/RN,RN,241500,2005,1524,481,"23,99%",2415,1921,494,"20,46%","14,73%",
Brejo dos Santos/PB,PB,250290,4674,3348,1326,"28,37%",4649,3698,951,"20,46%","27,89%",
Canavieira/PI,PI,220225,2759,2016,743,"26,93%",2707,2153,554,"20,47%","24,01%",
Fortuna/MA,MA,210420,10122,7034,3088,"30,51%",12414,9872,2542,"20,48%","32,88%",
Barra de São Miguel/PB,PB,250170,4181,3194,987,"23,61%",4662,3707,955,"20,48%","13,23%",
Brejolândia/BA,BA,290440,8338,6145,2193,"26,30%",7319,5820,1499,"20,48%","22,13%",
Porto Alegre do Piauí/PI,PI,220855,1802,1304,498,"27,64%",1811,1440,371,"20,49%","25,87%",
São José do Bonfim/PB,PB,251460,2378,1746,632,"26,58%",2552,2029,523,"20,49%","22,89%",
Itagi/BA,BA,291510,9436,6533,2903,"30,77%",10967,8720,2247,"20,49%","33,40%",
Riachuelo/RN,RN,241090,4981,3473,1508,"30,28%",5884,4678,1206,"20,50%","32,30%",
Cabaceiras do Paraguaçu/BA,BA,290485,11924,8767,3157,"26,48%",12817,10190,2627,"20,50%","22,59%",
Bela Vista do Maranhão/MA,MA,210177,7989,5637,2352,"29,44%",8651,6877,1774,"20,51%","30,35%",
Solidão/PE,PE,261440,4102,3037,1065,"25,96%",3977,3161,816,"20,52%","20,97%",
Campo do Brito/SE,SE,280100,12231,8785,3446,"28,17%",14353,11408,2945,"20,52%","27,17%",
Pereiro/CE,CE,231080,11425,8049,3376,"29,55%",12189,9687,2502,"20,53%","30,53%",
Catolândia/BA,BA,290740,1933,1436,497,"25,71%",2655,2110,545,"20,53%","20,16%",
Itiruçu/BA,BA,291690,9490,7163,2327,"24,52%",8933,7099,1834,"20,53%","16,27%",
Mascote/BA,BA,292090,10120,7023,3097,"30,60%",10735,8531,2204,"20,53%","32,91%",
Portel/PA,PA,150580,28820,20144,8676,"30,10%",41318,32828,8490,"20,55%","31,74%",
Buriticupu/MA,MA,210232,40734,29777,10957,"26,90%",39802,31623,8179,"20,55%","23,61%",
Buritirana/MA,MA,210235,9708,6946,2762,"28,45%",9593,7622,1971,"20,55%","27,78%",
Boquira/BA,BA,290410,16217,12032,4185,"25,81%",15506,12320,3186,"20,55%","20,38%",
Missão Velha/CE,CE,230840,24421,17613,6808,"27,88%",28254,22446,5808,"20,56%","26,26%",
Bonito de Santa Fé/PB,PB,250240,7697,5445,2252,"29,26%",7880,6259,1621,"20,57%","29,69%",
Serrolândia/BA,BA,293060,9310,7205,2105,"22,61%",10647,8457,2190,"20,57%","9,03%",
Baraúna/RN,RN,240145,16973,12203,4770,"28,10%",21019,16694,4325,"20,58%","26,78%",
Pombos/PE,PE,261130,17993,12823,5170,"28,73%",21735,17262,4473,"20,58%","28,38%",
Bom Jesus/RN,RN,240170,6776,4604,2172,"32,05%",7882,6259,1623,"20,59%","35,76%",
Vereda/BA,BA,293325,4964,3431,1533,"30,88%",4819,3827,992,"20,59%","33,34%",
Antônio Cardoso/BA,BA,290170,8477,6013,2464,"29,07%",8695,6904,1791,"20,60%","29,14%",
Currais/PI,PI,220323,3190,2146,1044,"32,73%",3693,2932,761,"20,61%","37,04%",
Tauá/CE,CE,231330,40981,29732,11249,"27,45%",49270,39115,10155,"20,61%","24,91%",
Monte Alegre/RN,RN,240780,14871,10570,4301,"28,92%",17959,14256,3703,"20,62%","28,71%",
Serrinha dos Pintos/RN,RN,241355,3529,2602,927,"26,27%",3821,3033,788,"20,62%","21,49%",
Duas Estradas/PB,PB,250580,2662,1848,814,"30,58%",2682,2129,553,"20,62%","32,57%",
Serrita/PE,PE,261400,12821,9455,3366,"26,25%",14037,11141,2896,"20,63%","21,42%",
Juruá/AM,AM,130220,6245,4140,2105,"33,71%",7316,5806,1510,"20,64%","38,77%",
Graça Aranha/MA,MA,210470,4385,3065,1320,"30,10%",4589,3642,947,"20,64%","31,45%",
São Domingos do Azeitão/MA,MA,211065,4635,3245,1390,"29,99%",5878,4665,1213,"20,64%","31,19%",
Aurelino Leal/BA,BA,290240,9684,7096,2588,"26,72%",8550,6785,1765,"20,64%","22,76%",
Campo Alegre de Lourdes/BA,BA,290590,19663,14166,5497,"27,96%",23237,18440,4797,"20,64%","26,16%",
Rio do Prado/MG,MG,315510,3906,2956,950,"24,32%",3765,2988,777,"20,64%","15,15%",
São João do Paraíso/MG,MG,316270,16743,12122,4621,"27,60%",19423,15413,4010,"20,65%","25,20%",
Santo Antônio do Itambé/MG,MG,316020,2819,2168,651,"23,09%",3228,2561,667,"20,66%","10,52%",
Malhador/SE,SE,280390,8707,6554,2153,"24,73%",8960,7106,1854,"20,69%","16,32%",
Presidente Juscelino/MA,MA,210920,7099,5087,2012,"28,34%",8113,6434,1679,"20,70%","26,98%",
Serrano do Maranhão/MA,MA,211178,6996,4718,2278,"32,56%",7474,5927,1547,"20,70%","36,43%",
Barro/CE,CE,230200,16243,12408,3835,"23,61%",15819,12544,3275,"20,70%","12,31%",
Vila Nova dos Martírios/MA,MA,211285,7381,5302,2079,"28,17%",7568,6001,1567,"20,71%","26,49%",
Queimada Nova/PI,PI,220865,6274,4310,1964,"31,30%",7119,5644,1475,"20,72%","33,81%",
São Pedro/RN,RN,241270,4544,3163,1381,"30,39%",4609,3654,955,"20,72%","31,82%",
Inhambupe/BA,BA,291370,25560,19023,6537,"25,58%",26521,21027,5494,"20,72%","19,00%",
Cristalândia do Piauí/PI,PI,220300,5343,3964,1379,"25,81%",5568,4414,1154,"20,73%","19,70%",
Central do Maranhão/MA,MA,210312,5096,3734,1362,"26,73%",5235,4149,1086,"20,74%","22,38%",
Jequiá da Praia/AL,AL,270375,8157,5869,2288,"28,05%",7156,5672,1484,"20,74%","26,07%",
Carrasco Bonito/TO,TO,170389,2349,1669,680,"28,95%",2414,1913,501,"20,75%","28,31%",
Nova Russas/CE,CE,230930,22822,16344,6478,"28,38%",24581,19481,5100,"20,75%","26,91%",
Ibiracatu/MG,MG,312965,4417,3289,1128,"25,54%",4029,3193,836,"20,75%","18,75%",
Amapá do Maranhão/MA,MA,210055,3994,2665,1329,"33,27%",5115,4053,1062,"20,76%","37,60%",
Mar Vermelho/AL,AL,270490,2611,1828,783,"29,99%",2548,2019,529,"20,76%","30,77%",
Piranhas/AL,AL,270710,14994,10422,4572,"30,49%",16715,13245,3470,"20,76%","31,92%",
Pacujá/CE,CE,230990,4362,3134,1228,"28,15%",4910,3890,1020,"20,77%","26,21%",
Sanharó/PE,PE,261240,15402,11424,3978,"25,83%",14481,11473,3008,"20,77%","19,57%",
Umburanas/BA,BA,293245,12201,9103,3098,"25,39%",10426,8260,2166,"20,77%","18,18%",
Jussara/BA,BA,291850,10643,7897,2746,"25,80%",12779,10123,2656,"20,78%","19,44%",
Miguel Leão/PI,PI,220630,876,625,251,"28,65%",1034,819,215,"20,79%","27,43%",
São Gonçalo do Piauí/PI,PI,220980,3380,2447,933,"27,60%",3678,2913,765,"20,80%","24,65%",
Brejões/BA,BA,290430,10576,8015,2561,"24,22%",10355,8201,2154,"20,80%","14,10%",
Tapauá/AM,AM,130410,11487,7929,3558,"30,97%",13472,10669,2803,"20,81%","32,83%",
Sebastião Leal/PI,PI,221063,2962,2141,821,"27,72%",3448,2730,718,"20,82%","24,87%",
Coribe/BA,BA,290910,10623,7609,3014,"28,37%",11279,8931,2348,"20,82%","26,63%",
Morada Nova/CE,CE,230870,46765,33568,13197,"28,22%",50224,39762,10462,"20,83%","26,18%",
Caiçara do Rio do Vento/RN,RN,240190,2491,1852,639,"25,65%",2559,2026,533,"20,83%","18,80%",
Banzaê/BA,BA,290265,8431,6208,2220,"26,33%",9219,7299,1920,"20,83%","20,91%",
Santa Maria do Salto/MG,MG,315810,4021,2882,1139,"28,33%",3870,3064,806,"20,83%","26,48%",
Santa Helena de Minas/MG,MG,315765,4144,2832,1312,"31,66%",4407,3488,919,"20,85%","34,13%",
Itororó/BA,BA,291710,14836,11220,3616,"24,37%",13303,10527,2776,"20,87%","14,38%",
Custódia/PE,PE,260510,25050,18234,6816,"27,21%",29373,23237,6136,"20,89%","23,23%",
Nossa Senhora das Dores/SE,SE,280460,17748,12709,5039,"28,39%",19811,15672,4139,"20,89%","26,41%",
Ribeirópolis/SE,SE,280600,12940,9252,3688,"28,50%",13938,11027,2911,"20,89%","26,72%",
Santa Cruz/PE,PE,261245,9282,6264,3018,"32,51%",10853,8585,2268,"20,90%","35,73%",
Ipu/CE,CE,230580,29236,21008,8228,"28,14%",32256,25511,6745,"20,91%","25,70%",
Madalena/CE,CE,230763,12718,9365,3353,"26,36%",13260,10487,2773,"20,91%","20,68%",
Vista Serrana/PB,PB,250550,2599,1935,664,"25,55%",2922,2311,611,"20,91%","18,15%",
Governador Archer/MA,MA,210450,7088,4857,2231,"31,48%",7793,6163,1630,"20,92%","33,55%",
Água Nova/RN,RN,240040,2220,1717,503,"22,66%",2352,1860,492,"20,92%","7,68%",
Exu/PE,PE,260530,22093,16522,5571,"25,22%",24652,19495,5157,"20,92%","17,04%",
Laje/BA,BA,291880,16182,11742,4440,"27,44%",16899,13363,3536,"20,92%","23,74%",
Santa Terezinha/BA,BA,292850,7158,5343,1815,"25,36%",8439,6672,1767,"20,94%","17,42%",
São José de Espinharas/PB,PB,251440,3553,2416,1137,"32,00%",3322,2626,696,"20,95%","34,53%",
São Benedito do Rio Preto/MA,MA,211040,10935,7544,3391,"31,01%",13057,10320,2737,"20,96%","32,40%",
Cocos/BA,BA,290810,13199,9919,3280,"24,85%",15183,12001,3182,"20,96%","15,66%",
Mata Roma/MA,MA,210640,9830,7030,2800,"28,48%",12473,9858,2615,"20,97%","26,40%",
Arês/RN,RN,240120,9354,6951,2403,"25,69%",10263,8111,2152,"20,97%","18,38%",
Santana do Ipanema/AL,AL,270800,30617,21756,8861,"28,94%",35000,27662,7338,"20,97%","27,56%",
Ibirapitanga/BA,BA,291270,15138,10307,4831,"31,91%",19593,15485,4108,"20,97%","34,30%",
Santa Cruz da Vitória/BA,BA,292780,5031,3793,1238,"24,61%",3697,2921,776,"20,99%","14,70%",
Alagoinha/PE,PE,260060,10074,7392,2682,"26,62%",10705,8457,2248,"21,00%","21,12%",
Messias/AL,AL,270520,10448,7324,3124,"29,90%",11588,9155,2433,"21,00%","29,78%",
Jardim/CE,CE,230710,18965,13972,4993,"26,33%",21177,16728,4449,"21,01%","20,20%",
Itaeté/BA,BA,291500,10388,7654,2734,"26,32%",10336,8164,2172,"21,01%","20,16%",
Riacho de Santo Antônio/PB,PB,251278,1234,930,304,"24,64%",1522,1202,320,"21,02%","14,66%",
São Francisco/SE,SE,280690,2429,1780,649,"26,72%",2541,2007,534,"21,02%","21,35%",
Fronteira dos Vales/MG,MG,312705,3468,2401,1067,"30,77%",3507,2770,737,"21,02%","31,70%",
Agricolândia/PI,PI,220010,3775,2738,1037,"27,47%",3956,3124,832,"21,03%","23,44%",
São Fernando/RN,RN,241180,2662,1938,724,"27,20%",2914,2301,613,"21,04%","22,65%",
Santa Inês/BA,BA,292790,7791,5589,2202,"28,26%",8252,6516,1736,"21,04%","25,57%",
Pinhão/SE,SE,280520,4387,3064,1323,"30,16%",4495,3549,946,"21,05%","30,21%",
Paulino Neves/MA,MA,210805,8898,6216,2682,"30,14%",12182,9614,2568,"21,08%","30,06%",
Lagoa do Barro do Piauí/PI,PI,220556,3275,2367,908,"27,73%",3937,3107,830,"21,08%","23,96%",
Bento Fernandes/RN,RN,240160,3626,2600,1026,"28,30%",3814,3010,804,"21,08%","25,50%",
Bodó/RN,RN,240165,1770,1330,440,"24,86%",1883,1486,397,"21,08%","15,19%",
Patu/RN,RN,240930,8988,6482,2506,"27,88%",8943,7058,1885,"21,08%","24,40%",
Lagoa Real/BA,BA,291875,10363,7894,2469,"23,83%",11487,9066,2421,"21,08%","11,54%",
São Domingos do Maranhão/MA,MA,211070,22905,16531,6374,"27,83%",25528,20144,5384,"21,09%","24,21%",
Passagem/RN,RN,240920,2126,1515,611,"28,74%",2503,1975,528,"21,09%","26,60%",
Porteiras/CE,CE,231110,11030,7793,3237,"29,35%",13296,10490,2806,"21,10%","28,09%",
Brejinho/RN,RN,240180,8351,5743,2608,"31,23%",9559,7542,2017,"21,10%","32,43%",
Jericó/PB,PB,250740,5656,4027,1629,"28,80%",6141,4845,1296,"21,10%","26,73%",
Franciscópolis/MG,MG,312675,4154,2886,1268,"30,52%",4147,3272,875,"21,10%","30,88%",
Joaíma/MG,MG,313600,10594,7564,3030,"28,60%",10875,8580,2295,"21,10%","26,21%",
Milagres/CE,CE,230830,20906,14869,6037,"28,88%",20724,16350,4374,"21,11%","26,91%",
Tenório/PB,PB,251675,2052,1455,597,"29,09%",2316,1827,489,"21,11%","27,43%",
Caldeirão Grande/BA,BA,290550,8830,6246,2584,"29,26%",10140,7999,2141,"21,11%","27,85%",
Novo Triunfo/BA,BA,292305,10918,8375,2543,"23,29%",8647,6821,1826,"21,12%","9,34%",
Novo Cruzeiro/MG,MG,314530,21160,15295,5865,"27,72%",21211,16731,4480,"21,12%","23,80%",
Guaraciaba do Norte/CE,CE,230500,26263,18797,7466,"28,43%",32482,25618,6864,"21,13%","25,67%",
Porto Calvo/AL,AL,270730,17299,12380,4919,"28,44%",18270,14409,3861,"21,13%","25,68%",
Santa Quitéria/CE,CE,231220,30994,22488,8506,"27,44%",32101,25316,6785,"21,14%","22,98%",
Santo Antônio de Lisboa/PI,PI,220940,4460,3186,1274,"28,57%",4733,3732,1001,"21,15%","25,96%",
Serra Negra do Norte/RN,RN,241340,5948,4416,1532,"25,76%",6307,4973,1334,"21,15%","17,88%",
Remígio/PB,PB,251270,12826,8889,3937,"30,70%",13941,10991,2950,"21,16%","31,06%",
Ipecaetá/BA,BA,291380,11382,8396,2986,"26,23%",11000,8672,2328,"21,16%","19,33%",
Esperantinópolis/MA,MA,210400,12776,8828,3948,"30,90%",14054,11079,2975,"21,17%","31,50%",
Tanhaçu/BA,BA,293100,15276,11316,3960,"25,92%",17055,13445,3610,"21,17%","18,35%",
Bom Jesus/PB,PB,250220,1757,1315,442,"25,16%",1850,1458,392,"21,19%","15,77%",
Bonito/PE,PE,260230,26625,18212,8413,"31,60%",29092,22922,6170,"21,21%","32,88%",
Itaueira/PI,PI,220510,7945,5736,2209,"27,80%",8361,6587,1774,"21,22%","23,69%",
Comercinho/MG,MG,311700,6153,4692,1461,"23,74%",5537,4362,1175,"21,22%","10,63%",
Baixio/CE,CE,230180,4565,3481,1084,"23,75%",4650,3663,987,"21,23%","10,61%",
Santa Maria/RN,RN,240933,3387,2410,977,"28,85%",3819,3008,811,"21,24%","26,38%",
Ipubi/PE,PE,260730,18607,12983,5624,"30,23%",21377,16837,4540,"21,24%","29,73%",
Acaraú/CE,CE,230020,40914,29117,11797,"28,83%",50207,39540,10667,"21,25%","26,32%",
São José de Piranhas/PB,PB,251450,14219,10660,3559,"25,03%",15253,12011,3242,"21,25%","15,08%",
Igarapé do Meio/MA,MA,210515,8144,5831,2313,"28,40%",10002,7876,2126,"21,26%","25,16%",
Pirpirituba/PB,PB,251180,7602,5329,2273,"29,90%",7306,5753,1553,"21,26%","28,91%",
Sátiro Dias/BA,BA,292970,13414,9340,4074,"30,37%",12491,9836,2655,"21,26%","30,02%",
São Vicente Ferrer/MA,MA,211170,14438,10644,3794,"26,28%",14939,11760,3179,"21,28%","19,02%",
Umirim/CE,CE,231375,13149,9413,3736,"28,41%",13281,10455,2826,"21,28%","25,11%",
Imaculada/PB,PB,250670,7613,5272,2341,"30,75%",8027,6319,1708,"21,28%","30,80%",
Iguaracy/PE,PE,260690,8729,6246,2483,"28,45%",8841,6960,1881,"21,28%","25,20%",
Barcelos/AM,AM,130040,16980,11203,5777,"34,02%",12214,9614,2600,"21,29%","37,43%",
Hidrolândia/CE,CE,230520,13981,9760,4221,"30,19%",14138,11128,3010,"21,29%","29,48%",
Barra de Santo Antônio/AL,AL,270050,9597,6916,2681,"27,94%",12206,9607,2599,"21,29%","23,78%",
Catende/PE,PE,260420,26667,19522,7145,"26,79%",24717,19453,5264,"21,30%","20,51%",
Pilões/RN,RN,241000,2660,1873,787,"29,59%",2464,1939,525,"21,31%","27,98%",
Santa Rosa de Lima/SE,SE,280650,2606,1898,708,"27,17%",3003,2363,640,"21,31%","21,55%",
Machados/PE,PE,260910,9660,6825,2835,"29,35%",8744,6880,1864,"21,32%","27,36%",
Nova Olinda do Maranhão/MA,MA,210735,12917,9300,3617,"28,00%",10678,8400,2278,"21,33%","23,81%",
Cerro Corá/RN,RN,240270,8015,5820,2195,"27,39%",8798,6921,1877,"21,33%","22,10%",
Barcelona/RN,RN,240150,2948,2078,870,"29,51%",3262,2566,696,"21,34%","27,70%",
Riacho dos Cavalos/PB,PB,251280,6269,4223,2046,"32,64%",6831,5373,1458,"21,34%","34,60%",
Lavras da Mangabeira/CE,CE,230750,23197,16497,6700,"28,88%",24880,19567,5313,"21,35%","26,07%",
Canto do Buriti/PI,PI,220230,14607,10270,4337,"29,69%",15553,12229,3324,"21,37%","28,02%",
Guaramiranga/CE,CE,230510,3021,2481,540,"17,87%",4585,3605,980,"21,37%","-19,58%",
Monsenhor Tabosa/CE,CE,230860,12047,8477,3570,"29,63%",13685,10760,2925,"21,37%","27,87%",
Senador Pompeu/CE,CE,231270,19817,14436,5381,"27,15%",19600,15412,4188,"21,37%","21,31%",
Curralinhos/PI,PI,220325,2935,2023,912,"31,07%",3339,2625,714,"21,38%","31,18%",
São João do Rio do Peixe/PB,PB,250070,14101,10177,3924,"27,83%",14867,11685,3182,"21,40%","23,09%",
Uiraúna/PB,PB,251690,11254,8246,3008,"26,73%",12086,9499,2587,"21,40%","19,92%",
Jardim de Angicos/RN,RN,240550,1906,1393,513,"26,92%",1906,1498,408,"21,41%","20,47%",
Telha/SE,SE,280730,2133,1550,583,"27,33%",2504,1968,536,"21,41%","21,68%",
Bandeira/MG,MG,310520,3798,2636,1162,"30,60%",4017,3157,860,"21,41%","30,02%",
Quixaba/PE,PE,261153,4875,3501,1374,"28,18%",5109,4014,1095,"21,43%","23,96%",
Itaquara/BA,BA,291670,5751,3810,1941,"33,75%",6641,5218,1423,"21,43%","36,51%",
Socorro do Piauí/PI,PI,221090,3213,2336,877,"27,30%",3334,2619,715,"21,45%","21,43%",
Urbano Santos/MA,MA,211260,15308,10704,4603,"30,07%",23241,18251,4990,"21,47%","28,60%",
Nilo Peçanha/BA,BA,292260,8936,6587,2349,"26,29%",9339,7334,2005,"21,47%","18,33%",
Mamanguape/PB,PB,250890,30379,21902,8477,"27,90%",33952,26660,7292,"21,48%","23,03%",
Lagoa de Itaenga/PE,PE,260850,14779,10809,3970,"26,86%",14779,11605,3174,"21,48%","20,05%",
Ituaçu/BA,BA,291720,13531,10040,3491,"25,80%",14546,11421,3125,"21,48%","16,73%",
Riacho de Santana/BA,BA,292640,22842,16541,6301,"27,59%",24636,19343,5293,"21,48%","22,11%",
Tarauacá/AC,AC,120060,20543,14147,6396,"31,13%",29001,22768,6233,"21,49%","30,97%",
São Rafael/RN,RN,241280,6323,4328,1995,"31,55%",6433,5050,1383,"21,50%","31,86%",
Carrapateira/PB,PB,250410,1713,1232,481,"28,08%",1884,1479,405,"21,50%","23,44%",
São José do Brejo do Cruz/PB,PB,251465,1225,883,342,"27,92%",1344,1055,289,"21,50%","22,98%",
Rubelita/MG,MG,315650,5657,4275,1382,"24,43%",4702,3691,1011,"21,50%","11,99%",
Jati/CE,CE,230720,5720,4222,1498,"26,19%",6132,4813,1319,"21,51%","17,87%",
Nova Ibiá/BA,BA,292275,4853,3445,1408,"29,01%",5130,4026,1104,"21,52%","25,82%",
São Mateus do Maranhão/MA,MA,211150,26552,18217,8335,"31,39%",29172,22891,6281,"21,53%","31,41%",
Aporá/BA,BA,290190,12613,9105,3508,"27,81%",12702,9967,2735,"21,53%","22,58%",
Recursolândia/TO,TO,171850,2378,1721,657,"27,63%",2516,1974,542,"21,54%","22,03%",
Coelho Neto/MA,MA,210340,31204,22170,9034,"28,95%",31231,24504,6727,"21,54%","25,60%",
Carnaubal/CE,CE,230340,11665,8205,3460,"29,66%",13289,10427,2862,"21,54%","27,39%",
Almino Afonso/RN,RN,240060,3712,2782,930,"25,05%",3858,3027,831,"21,54%","14,03%",
São Sebastião do Umbuzeiro/PB,PB,251520,2392,1791,601,"25,13%",2577,2022,555,"21,54%","14,28%",
Nordestina/BA,BA,292265,8772,6188,2584,"29,46%",14519,11392,3127,"21,54%","26,89%",
Várzea Alegre/CE,CE,231400,28906,20632,8274,"28,62%",31594,24786,6808,"21,55%","24,72%",
Macajuba/BA,BA,291960,7800,5635,2165,"27,76%",8203,6435,1768,"21,55%","22,35%",
Benedito Leite/MA,MA,210180,3954,2798,1156,"29,24%",4253,3336,917,"21,56%","26,25%",
Campo Alegre/AL,AL,270140,34436,24998,9438,"27,41%",24449,19179,5270,"21,56%","21,35%",
