Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Assunção,PB,Assunção/PB,250135,4152,"29,12%",--,--
Aroeiras,PB,Aroeiras/PB,250130,18705,"68,37%",--,"25,15%"
Areial,PB,Areial/PB,250120,7128,"16,96%",--,--
Areia de Baraúnas,PB,Areia de Baraúnas/PB,250115,2005,"56,71%",--,--
Arara,PB,Arara/PB,250090,12212,29%,--,--
Araçagi,PB,Araçagi/PB,250080,16646,"38,26%",--,--
Amparo,PB,Amparo/PB,250073,2234,Sem Atendimento,--,"50,67%"
São João do Rio do Peixe,PB,São João do Rio do Peixe/PB,250070,17964,"45,63%",--,"63,02%"
Algodão de Jandaíra,PB,Algodão de Jandaíra/PB,250057,2953,Sem Atendimento,--,"47,99%"
Alcantil,PB,Alcantil/PB,250053,5578,--,--,"60,60%"
Alagoinha,PB,Alagoinha/PB,250050,13725,"83,24%",--,"44,60%"
Alagoa Nova,PB,Alagoa Nova/PB,250040,21013,57%,--,--
Aguiar,PB,Aguiar/PB,250020,5003,"36,82%",--,"51,07%"
Vila Flor,RN,Vila Flor/RN,241500,3174,"14,74%",--,--
Vera Cruz,RN,Vera Cruz/RN,241480,10735,"4,78%",--,"2,31%"
Venha-Ver,RN,Venha-Ver/RN,241475,3014,"62,38%",--,"33,64%"
Várzea,RN,Várzea/RN,241470,5233,"12,57%",--,"14,62%"
Umarizal,RN,Umarizal/RN,241450,10078,19%,--,--
Triunfo Potiguar,RN,Triunfo Potiguar/RN,241445,3376,"21,18%",--,"35,13%"
Timbaúba dos Batistas,RN,Timbaúba dos Batistas/RN,241430,2348,"8,94%",--,"0,51%"
Taipu,RN,Taipu/RN,241390,11422,"37,33%",--,"53,42%"
Taboleiro Grande,RN,Taboleiro Grande/RN,241380,2338,"15,57%",--,"18,73%"
Severiano Melo,RN,Severiano Melo/RN,241360,5487,"10,21%",--,"59,72%"
Serrinha dos Pintos,RN,Serrinha dos Pintos/RN,241355,4659,"23,89%",--,"7,71%"
Serrinha,RN,Serrinha/RN,241350,6436,"40,58%",--,"79,80%"
Serra do Mel,RN,Serra do Mel/RN,241335,13091,"92,83%",--,"50,35%"
Serra de São Bento,RN,Serra de São Bento/RN,241330,5703,"14,01%",--,--
Senador Georgino Avelino,RN,Senador Georgino Avelino/RN,241320,4065,"15,03%",--,"2,09%"
Senador Elói de Souza,RN,Senador Elói de Souza/RN,241310,5965,"4,01%",--,"44,86%"
São Vicente,RN,São Vicente/RN,241300,6310,"23,49%",--,"37,53%"
São Pedro,RN,São Pedro/RN,241270,5776,"28,20%",--,"0,10%"
São Miguel,RN,São Miguel/RN,241250,23537,"59,58%",--,--
São Francisco do Oeste,RN,São Francisco do Oeste/RN,241190,4161,"11,61%",--,"23,58%"
São Bento do Norte,RN,São Bento do Norte/RN,241160,3304,"32,23%",--,--
Santana do Matos,RN,Santana do Matos/RN,241140,12456,"41,68%",--,"29,29%"
Santa Cruz,RN,Santa Cruz/RN,241120,37313,--,--,"14,98%"
Ruy Barbosa,RN,Ruy Barbosa/RN,241110,3206,"17,03%",--,"51,65%"
Tibau,RN,Tibau/RN,241105,5382,0%,--,--
Rodolfo Fernandes,RN,Rodolfo Fernandes/RN,241100,4242,"4,95%",--,--
Riacho de Santana,RN,Riacho de Santana/RN,241080,4127,"70,58%",--,"58,78%"
Rafael Godeiro,RN,Rafael Godeiro/RN,241060,2934,"29,04%",--,"36,95%"
Rafael Fernandes,RN,Rafael Fernandes/RN,241050,5432,"71,65%",--,"7,47%"
Pureza,RN,Pureza/RN,241040,9362,"66,03%",--,"30,57%"
Porto do Mangue,RN,Porto do Mangue/RN,241025,5228,"58,68%",--,"1,09%"
Portalegre,RN,Portalegre/RN,241020,7601,"34,40%",--,"45,13%"
Poço Branco,RN,Poço Branco/RN,241010,12390,"24,12%",--,--
Pedra Preta,RN,Pedra Preta/RN,240960,2441,"53,75%",--,--
Pedra Grande,RN,Pedra Grande/RN,240950,3618,"27,25%",--,"0,19%"
Patu,RN,Patu/RN,240930,11007,"36,50%",--,--
Passagem,RN,Passagem/RN,240920,3115,"38,94%",--,0%
Rio do Fogo,RN,Rio do Fogo/RN,240895,10351,"0,80%",--,--
Paraú,RN,Paraú/RN,240870,3579,"19,14%",--,"13,33%"
Paraná,RN,Paraná/RN,240860,3934,"61,06%",--,"43,19%"
Ouro Branco,RN,Ouro Branco/RN,240850,4913,"24,34%",--,"30,67%"
Monte das Gameleiras,RN,Monte das Gameleiras/RN,240790,2276,"7,03%",--,"43,23%"
Montanhas,RN,Montanhas/RN,240770,11444,"4,95%",--,"6,06%"
Messias Targino,RN,Messias Targino/RN,240760,4274,"34,53%",--,--
Maxaranguape,RN,Maxaranguape/RN,240750,10255,0%,--,0%
Martins,RN,Martins/RN,240740,8179,"19,99%",--,"4,27%"
Marcelino Vieira,RN,Marcelino Vieira/RN,240730,7896,"27,24%",--,"40,78%"
Major Sales,RN,Major Sales/RN,240725,3924,"17,99%",--,"2,98%"
Lagoa Salgada,RN,Lagoa Salgada/RN,240660,8319,"10,73%",--,--
Lagoa de Velhos,RN,Lagoa de Velhos/RN,240640,2567,0%,--,0%
Lagoa de Pedras,RN,Lagoa de Pedras/RN,240630,7338,"49,97%",--,"2,90%"
Lagoa d'Anta,RN,Lagoa d'Anta/RN,240620,6654,"10,26%",--,"7,88%"
Jundiá,RN,Jundiá/RN,240615,3739,"77,61%",--,"0,05%"
João Dias,RN,João Dias/RN,240590,2076,"65,41%",--,"55,15%"
Jardim de Angicos,RN,Jardim de Angicos/RN,240550,2437,"35,90%",--,"83,38%"
Japi,RN,Japi/RN,240540,5117,"8,48%",--,--
Januário Cicco,RN,Januário Cicco/RN,240530,9051,"43,17%",--,0%
Janduís,RN,Janduís/RN,240520,4746,"18,63%",--,--
Jandaíra,RN,Jandaíra/RN,240510,6562,"37,32%",--,0%
Itaú,RN,Itaú/RN,240490,5320,"11,99%",--,"13,98%"
Itajá,RN,Itajá/RN,240485,7292,"6,75%",--,"0,03%"
Ipueira,RN,Ipueira/RN,240480,2035,0%,--,"9,04%"
Ipanguaçu,RN,Ipanguaçu/RN,240470,14131,"86,49%",--,0%
Ielmo Marinho,RN,Ielmo Marinho/RN,240460,11615,"85,85%",--,--
Guamaré,RN,Guamaré/RN,240450,15295,"71,47%",--,"1,18%"
Grossos,RN,Grossos/RN,240440,9924,"31,59%",--,"9,31%"
Governador Dix-Sept Rosado,RN,Governador Dix-Sept Rosado/RN,240430,11938,"51,68%",--,"45,02%"
Galinhos,RN,Galinhos/RN,240410,2104,--,--,0%
Frutuoso Gomes,RN,Frutuoso Gomes/RN,240400,4122,"33,70%",--,"33,58%"
Francisco Dantas,RN,Francisco Dantas/RN,240390,2700,"38,63%",--,--
Fernando Pedroza,RN,Fernando Pedroza/RN,240375,2938,"1,06%",--,"8,10%"
Felipe Guerra,RN,Felipe Guerra/RN,240370,5944,"38,60%",--,"33,82%"
Extremoz,RN,Extremoz/RN,240360,61635,0%,--,"0,41%"
Equador,RN,Equador/RN,240340,5360,"19,89%",--,"17,46%"
Coronel João Pessoa,RN,Coronel João Pessoa/RN,240290,4237,"81,19%",--,"33,92%"
Coronel Ezequiel,RN,Coronel Ezequiel/RN,240280,5117,"43,91%",--,"25,74%"
Carnaúba dos Dantas,RN,Carnaúba dos Dantas/RN,240240,7992,"23,72%",--,"11,16%"
Caraúbas,RN,Caraúbas/RN,240230,19727,"23,17%",--,"29,45%"
Canguaretama,RN,Canguaretama/RN,240220,29668,"31,86%",--,"5,62%"
Caiçara do Norte,RN,Caiçara do Norte/RN,240185,6293,"46,18%",--,--
Brejinho,RN,Brejinho/RN,240180,12202,--,--,"46,56%"
Bom Jesus,RN,Bom Jesus/RN,240170,9952,0%,--,"30,02%"
Bodó,RN,Bodó/RN,240165,2306,"39,81%",--,"21,94%"
Bento Fernandes,RN,Bento Fernandes/RN,240160,4807,"26,98%",--,--
Barcelona,RN,Barcelona/RN,240150,3986,1%,--,"2,16%"
Baraúna,RN,Baraúna/RN,240145,26913,"29,02%",--,"17,72%"
Baía Formosa,RN,Baía Formosa/RN,240140,8825,"21,55%",--,"0,17%"
Areia Branca,RN,Areia Branca/RN,240110,24093,"15,73%",--,"0,07%"
Apodi,RN,Apodi/RN,240100,36093,"37,74%",--,"33,14%"
Angicos,RN,Angicos/RN,240080,11632,0%,--,"12,61%"
Água Nova,RN,Água Nova/RN,240040,2946,"35,57%",--,0%
Açu,RN,Açu/RN,240020,56496,"33,04%",--,"10,08%"
Varjota,CE,Varjota/CE,231395,18105,"37,76%",--,0%
Uruburetama,CE,Uruburetama/CE,231380,20189,"39,82%",--,0%
Umirim,CE,Umirim/CE,231375,17470,"45,64%",--,0%
Ubajara,CE,Ubajara/CE,231360,32767,"38,92%",--,"23,70%"
Tururu,CE,Tururu/CE,231355,15412,"39,31%",--,0%
Tejuçuoca,CE,Tejuçuoca/CE,231335,17154,"37,08%",--,"57,09%"
Tamboril,CE,Tamboril/CE,231320,24815,"64,60%",--,"44,21%"
Solonópole,CE,Solonópole/CE,231300,18179,"16,67%",--,"48,73%"
Senador Sá,CE,Senador Sá/CE,231280,7262,"54,14%",--,0%
São João do Jaguaribe,CE,São João do Jaguaribe/CE,231250,5855,"95,37%",--,"40,09%"
Santa Quitéria,CE,Santa Quitéria/CE,231220,40183,"36,20%",--,"9,79%"
Santana do Cariri,CE,Santana do Cariri/CE,231210,16954,"74,24%",--,"29,22%"
Reriutaba,CE,Reriutaba/CE,231170,18606,"25,41%",--,--
Quixeré,CE,Quixeré/CE,231150,20874,"22,31%",--,"0,05%"
Quixeramobim,CE,Quixeramobim/CE,231140,82177,"33,27%",--,"20,90%"
Quiterianópolis,CE,Quiterianópolis/CE,231126,20213,"50,67%",--,"57,95%"
Potiretama,CE,Potiretama/CE,231123,5974,"61,97%",--,"16,30%"
Potengi,CE,Potengi/CE,231120,8833,"22,87%",--,0%
Pires Ferreira,CE,Pires Ferreira/CE,231095,10606,"68,31%",--,"30,02%"
Piquet Carneiro,CE,Piquet Carneiro/CE,231090,16616,"36,57%",--,51%
Pindoretama,CE,Pindoretama/CE,231085,23391,"62,81%",--,"37,20%"
Pereiro,CE,Pereiro/CE,231080,15274,"69,26%",--,"51,14%"
Pentecoste,CE,Pentecoste/CE,231070,37813,"41,23%",--,"39,17%"
Penaforte,CE,Penaforte/CE,231060,8972,"46,17%",--,--
Parambu,CE,Parambu/CE,231030,31445,"69,54%",--,"1,42%"
Palhano,CE,Palhano/CE,231000,9346,"42,67%",--,"49,13%"
Nova Olinda,CE,Nova Olinda/CE,230920,15399,"44,05%",--,0%
Morrinhos,CE,Morrinhos/CE,230890,22753,"36,11%",--,"31,88%"
Moraújo,CE,Moraújo/CE,230880,8254,"47,15%",--,--
Monsenhor Tabosa,CE,Monsenhor Tabosa/CE,230860,17149,"53,94%",--,0%
Mombaça,CE,Mombaça/CE,230850,37735,"55,10%",--,"5,92%"
Miraíma,CE,Miraíma/CE,230837,14196,"55,11%",--,"19,64%"
Meruoca,CE,Meruoca/CE,230820,15157,"29,65%",--,"40,62%"
Martinópole,CE,Martinópole/CE,230790,10846,"33,83%",--,"21,61%"
Madalena,CE,Madalena/CE,230763,16896,"16,86%",--,"5,30%"
Jaguaruana,CE,Jaguaruana/CE,230700,31701,"21,02%",--,"14,83%"
Itatira,CE,Itatira/CE,230660,20424,"60,47%",--,"29,01%"
Itapiúna,CE,Itapiúna/CE,230650,17841,"55,36%",--,"54,32%"
Itaiçaba,CE,Itaiçaba/CE,230620,7536,"30,12%",--,"0,48%"
Irauçuba,CE,Irauçuba/CE,230610,23915,"17,35%",--,"13,96%"
Ipueiras,CE,Ipueiras/CE,230590,36798,"1,48%",--,"18,47%"
Ipu,CE,Ipu/CE,230580,41081,"7,50%",--,"2,63%"
Ipaumirim,CE,Ipaumirim/CE,230570,12083,"52,57%",--,"40,01%"
Ipaporanga,CE,Ipaporanga/CE,230565,11575,"32,51%",--,"36,47%"
Icapuí,CE,Icapuí/CE,230535,21433,"0,52%",--,"68,59%"
Ibicuitinga,CE,Ibicuitinga/CE,230533,11611,"55,47%",--,"5,26%"
Ibiapina,CE,Ibiapina/CE,230530,23965,"52,39%",--,"24,89%"
Ibaretama,CE,Ibaretama/CE,230526,11956,"45,15%",--,"69,05%"
Hidrolândia,CE,Hidrolândia/CE,230520,17855,"45,07%",--,"32,68%"
Groaíras,CE,Groaíras/CE,230490,10910,"28,63%",--,"17,51%"
General Sampaio,CE,General Sampaio/CE,230460,6734,"36,77%",--,"9,41%"
Fortim,CE,Fortim/CE,230445,17294,"51,36%",--,"13,21%"
Farias Brito,CE,Farias Brito/CE,230430,18217,"24,92%",--,"25,89%"
Deputado Irapuan Pinheiro,CE,Deputado Irapuan Pinheiro/CE,230426,8932,"17,71%",--,"56,91%"
Cruz,CE,Cruz/CE,230425,29761,"60,47%",--,"50,67%"
Chorozinho,CE,Chorozinho/CE,230395,20163,"65,47%",--,"15,19%"
Choró,CE,Choró/CE,230393,12113,"59,53%",--,"33,96%"
Chaval,CE,Chaval/CE,230390,12462,"35,06%",--,"31,79%"
Catunda,CE,Catunda/CE,230365,10444,"42,53%",--,"0,18%"
Carnaubal,CE,Carnaubal/CE,230340,17210,"53,25%",--,"12,84%"
Cariús,CE,Cariús/CE,230330,17015,"74,29%",--,"9,49%"
Caririaçu,CE,Caririaçu/CE,230320,26320,"11,62%",--,"11,72%"
Caridade,CE,Caridade/CE,230300,16377,"36,76%",--,"26,73%"
Capistrano,CE,Capistrano/CE,230290,17254,"62,50%",--,"30,45%"
Banabuiú,CE,Banabuiú/CE,230185,17195,"15,34%",--,"51,65%"
Baixio,CE,Baixio/CE,230180,5704,"30,35%",--,"39,27%"
Arneiroz,CE,Arneiroz/CE,230150,7429,"27,81%",--,"5,77%"
Araripe,CE,Araripe/CE,230130,19783,"26,60%",--,"38,42%"
Ararendá,CE,Ararendá/CE,230125,11096,"13,17%",--,"41,80%"
Aracoiaba,CE,Aracoiaba/CE,230120,25553,"60,55%",--,"21,73%"
Apuiarés,CE,Apuiarés/CE,230090,12928,"65,63%",--,"16,07%"
Amontada,CE,Amontada/CE,230075,42156,"96,29%",--,"5,24%"
Alto Santo,CE,Alto Santo/CE,230070,14155,"45,88%",--,"14,97%"
Aiuaba,CE,Aiuaba/CE,230040,14076,0%,--,"28,96%"
Abaiara,CE,Abaiara/CE,230010,10038,"63,40%",--,"58,22%"
Wall Ferraz,PI,Wall Ferraz/PI,221170,4059,"60,06%",--,"21,16%"
Vila Nova do Piauí,PI,Vila Nova do Piauí/PI,221160,2935,"4,43%",--,"78,53%"
Vera Mendes,PI,Vera Mendes/PI,221150,3185,"3,30%",--,"68,73%"
Várzea Grande,PI,Várzea Grande/PI,221140,4417,"44,06%",--,"40,46%"
Várzea Branca,PI,Várzea Branca/PI,221135,5055,"78,36%",--,--
Valença do Piauí,PI,Valença do Piauí/PI,221130,22279,"20,12%",--,"16,95%"
Uruçuí,PI,Uruçuí/PI,221120,25203,"10,37%",--,"22,23%"
Tanque do Piauí,PI,Tanque do Piauí/PI,221097,2316,"17,31%",--,"16,45%"
Tamboril do Piauí,PI,Tamboril do Piauí/PI,221095,2949,--,--,--
Sussuapara,PI,Sussuapara/PI,221093,6220,0%,--,"43,41%"
Socorro do Piauí,PI,Socorro do Piauí/PI,221090,4141,"68,68%",--,"36,01%"
Sigefredo Pacheco,PI,Sigefredo Pacheco/PI,221065,9460,"18,60%",--,"32,35%"
Sebastião Leal,PI,Sebastião Leal/PI,221063,4446,"53,58%",--,"53,51%"
Sebastião Barros,PI,Sebastião Barros/PI,221062,3202,"30,36%",--,--
São Pedro do Piauí,PI,São Pedro do Piauí/PI,221050,13755,"35,65%",--,"39,83%"
São Miguel do Fidalgo,PI,São Miguel do Fidalgo/PI,221039,2829,"27,54%",--,"32,84%"
São Luis do Piauí,PI,São Luis do Piauí/PI,221037,2309,"58,21%",--,"35,04%"
São Lourenço do Piauí,PI,São Lourenço do Piauí/PI,221035,4410,"59,32%",--,--
São Julião,PI,São Julião/PI,221030,6025,"23,32%",--,--
São José do Piauí,PI,São José do Piauí/PI,221020,6597,"62,98%",--,"49,98%"
São José do Peixe,PI,São José do Peixe/PI,221010,3297,"33,76%",--,"51,47%"
São José do Divino,PI,São José do Divino/PI,221005,4841,"42,14%",--,"47,35%"
São João do Piauí,PI,São João do Piauí/PI,221000,21421,"22,61%",--,"25,31%"
São João do Arraial,PI,São João do Arraial/PI,220997,8186,0%,--,"49,45%"
São João da Varjota,PI,São João da Varjota/PI,220995,4383,"0,18%",--,"34,98%"
São João da Serra,PI,São João da Serra/PI,220990,6114,"30,65%",--,"43,98%"
São João da Canabrava,PI,São João da Canabrava/PI,220985,4242,"61,86%",--,"60,82%"
São Gonçalo do Piauí,PI,São Gonçalo do Piauí/PI,220980,4837,"13,98%",--,"30,35%"
São Gonçalo do Gurguéia,PI,São Gonçalo do Gurguéia/PI,220975,2947,--,--,"55,24%"
São Francisco do Piauí,PI,São Francisco do Piauí/PI,220970,5392,"62,33%",--,"55,56%"
São Francisco de Assis do Piauí,PI,São Francisco de Assis do Piauí/PI,220965,5572,"58,56%",--,"74,39%"
São Félix do Piauí,PI,São Félix do Piauí/PI,220960,2842,"24,35%",--,0%
São Braz do Piauí,PI,São Braz do Piauí/PI,220955,4358,"94,93%",--,"54,11%"
Santo Inácio do Piauí,PI,Santo Inácio do Piauí/PI,220950,3646,"21,83%",--,--
Santo Antônio dos Milagres,PI,Santo Antônio dos Milagres/PI,220945,2138,"47,85%",--,--
Santo Antônio de Lisboa,PI,Santo Antônio de Lisboa/PI,220940,5839,"32,44%",--,"16,22%"
Santa Rosa do Piauí,PI,Santa Rosa do Piauí/PI,220937,4650,"13,18%",--,"29,10%"
Santana do Piauí,PI,Santana do Piauí/PI,220935,4125,"47,68%",--,"0,02%"
Santa Luz,PI,Santa Luz/PI,220930,5336,"33,15%",--,"25,04%"
Santa Filomena,PI,Santa Filomena/PI,220920,6087,"80,15%",--,56%
Santa Cruz dos Milagres,PI,Santa Cruz dos Milagres/PI,220915,3435,--,--,"31,56%"
Santa Cruz do Piauí,PI,Santa Cruz do Piauí/PI,220910,5831,"25,93%",--,--
Rio Grande do Piauí,PI,Rio Grande do Piauí/PI,220900,5801,"21,07%",--,"34,87%"
Ribeira do Piauí,PI,Ribeira do Piauí/PI,220887,4055,"0,30%",--,"44,54%"
Riacho Frio,PI,Riacho Frio/PI,220885,4165,"26,63%",--,"48,28%"
Regeneração,PI,Regeneração/PI,220880,17133,"43,82%",--,"24,12%"
Redenção do Gurguéia,PI,Redenção do Gurguéia/PI,220870,8394,"0,01%",--,"33,31%"
Queimada Nova,PI,Queimada Nova/PI,220865,8738,"64,50%",--,"59,49%"
Prata do Piauí,PI,Prata do Piauí/PI,220860,3042,"18,84%",--,"21,10%"
Piracuruca,PI,Piracuruca/PI,220830,28846,"21,03%",--,"19,84%"
Pio IX,PI,Pio IX/PI,220820,17613,"59,92%",--,--
Pimenteiras,PI,Pimenteiras/PI,220810,11341,"53,58%",--,"43,96%"
Nova Santa Rita,PI,Nova Santa Rita/PI,220795,4076,"72,03%",--,--
Pedro Laurentino,PI,Pedro Laurentino/PI,220793,2458,"64,69%",--,"18,63%"
Pavussu,PI,Pavussu/PI,220785,3628,"35,72%",--,"51,16%"
Pau D'Arco do Piauí,PI,Pau D'Arco do Piauí/PI,220779,3880,--,--,"87,11%"
Patos do Piauí,PI,Patos do Piauí/PI,220777,5425,"61,75%",--,"72,33%"
Passagem Franca do Piauí,PI,Passagem Franca do Piauí/PI,220775,4135,"40,73%",--,--
Parnaguá,PI,Parnaguá/PI,220760,10103,"62,98%",--,"51,51%"
Paquetá,PI,Paquetá/PI,220755,3813,"83,29%",--,"47,55%"
Palmeirais,PI,Palmeirais/PI,220750,13264,"55,37%",--,"47,23%"
Palmeira do Piauí,PI,Palmeira do Piauí/PI,220740,4952,"69,83%",--,"64,66%"
Pajeú do Piauí,PI,Pajeú do Piauí/PI,220735,3000,"18,57%",--,"57,57%"
Paes Landim,PI,Paes Landim/PI,220730,4088,"37,87%",--,"36,40%"
Padre Marcos,PI,Padre Marcos/PI,220720,6382,"29,97%",--,"64,68%"
Novo Santo Antônio,PI,Novo Santo Antônio/PI,220695,2827,--,--,--
Novo Oriente do Piauí,PI,Novo Oriente do Piauí/PI,220690,6097,"35,71%",--,"39,22%"
Nossa Senhora dos Remédios,PI,Nossa Senhora dos Remédios/PI,220680,8525,"67,95%",--,"63,17%"
Nossa Senhora de Nazaré,PI,Nossa Senhora de Nazaré/PI,220675,5228,--,--,--
Nazária,PI,Nazária/PI,220672,10262,"79,93%",--,"12,30%"
Nazaré do Piauí,PI,Nazaré do Piauí/PI,220670,6665,"58,29%",--,"52,18%"
Morro do Chapéu do Piauí,PI,Morro do Chapéu do Piauí/PI,220667,6425,"6,46%",--,"65,76%"
Morro Cabeça no Tempo,PI,Morro Cabeça no Tempo/PI,220665,4377,--,--,"39,32%"
Monte Alegre do Piauí,PI,Monte Alegre do Piauí/PI,220660,10660,"67,62%",--,--
Monsenhor Hipólito,PI,Monsenhor Hipólito/PI,220650,7577,"49,66%",--,"34,01%"
Monsenhor Gil,PI,Monsenhor Gil/PI,220640,10255,"40,86%",--,--
Milton Brandão,PI,Milton Brandão/PI,220635,6542,38%,--,"75,54%"
Miguel Leão,PI,Miguel Leão/PI,220630,1318,--,--,"27,92%"
Miguel Alves,PI,Miguel Alves/PI,220620,32150,"66,37%",--,"66,83%"
Matias Olímpio,PI,Matias Olímpio/PI,220610,10641,"44,43%",--,--
Massapê do Piauí,PI,Massapê do Piauí/PI,220605,5218,"67,67%",--,"84,92%"
Marcolândia,PI,Marcolândia/PI,220595,8533,--,--,"4,39%"
Manoel Emídio,PI,Manoel Emídio/PI,220590,5209,"33,19%",--,"27,05%"
Luzilândia,PI,Luzilândia/PI,220580,25375,"47,21%",--,"22,67%"
Landri Sales,PI,Landri Sales/PI,220560,5213,--,--,"49,03%"
Lagoa do Sítio,PI,Lagoa do Sítio/PI,220559,4520,"21,24%",--,"25,60%"
Lagoa do Piauí,PI,Lagoa do Piauí/PI,220558,4810,"15,05%",--,"49,04%"
Lagoa de São Francisco,PI,Lagoa de São Francisco/PI,220557,6331,--,--,--
Lagoa do Barro do Piauí,PI,Lagoa do Barro do Piauí/PI,220556,4995,"6,75%",--,"75,18%"
Lagoa Alegre,PI,Lagoa Alegre/PI,220555,8256,"62,52%",--,--
Lagoinha do Piauí,PI,Lagoinha do Piauí/PI,220554,2939,--,--,"42,16%"
Jurema,PI,Jurema/PI,220553,4425,"75,37%",--,"51,64%"
Júlio Borges,PI,Júlio Borges/PI,220552,5388,"58,67%",--,"62,88%"
Juazeiro do Piauí,PI,Juazeiro do Piauí/PI,220551,5214,"69,37%",--,"39,99%"
Joca Marques,PI,Joca Marques/PI,220545,5394,"62,92%",--,"44,38%"
Jerumenha,PI,Jerumenha/PI,220530,4497,"40,29%",--,--
Jatobá do Piauí,PI,Jatobá do Piauí/PI,220527,4494,"1,65%",--,"80,93%"
Jardim do Mulato,PI,Jardim do Mulato/PI,220525,4180,"70,86%",--,--
Jaicós,PI,Jaicós/PI,220520,17527,"73,31%",--,--
Jacobina do Piauí,PI,Jacobina do Piauí/PI,220515,5613,"50,51%",--,"82,04%"
Itaueira,PI,Itaueira/PI,220510,10323,"33,58%",--,"46,36%"
Itainópolis,PI,Itainópolis/PI,220500,10790,"66,22%",--,"41,61%"
Isaías Coelho,PI,Isaías Coelho/PI,220490,7774,"69,36%",--,"74,95%"
Ipiranga do Piauí,PI,Ipiranga do Piauí/PI,220480,9420,"45,37%",--,"15,07%"
Inhuma,PI,Inhuma/PI,220470,14958,"38,01%",--,"27,93%"
Hugo Napoleão,PI,Hugo Napoleão/PI,220460,3518,"5,57%",--,"11,88%"
Guaribas,PI,Guaribas/PI,220455,4276,"61,93%",--,71%
Gilbués,PI,Gilbués/PI,220440,10892,"73,18%",--,"63,81%"
Geminiano,PI,Geminiano/PI,220435,5445,0%,--,"40,13%"
Fronteiras,PI,Fronteiras/PI,220430,10259,"31,08%",--,--
Francisco Santos,PI,Francisco Santos/PI,220420,8237,"49,79%",--,"44,47%"
Francisco Macedo,PI,Francisco Macedo/PI,220415,2929,"18,37%",--,"27,42%"
Francisco Ayres,PI,Francisco Ayres/PI,220410,4412,"38,35%",--,"52,86%"
Francinópolis,PI,Francinópolis/PI,220400,4505,"23,24%",--,"25,77%"
Floresta do Piauí,PI,Floresta do Piauí/PI,220385,2333,--,--,--
Flores do Piauí,PI,Flores do Piauí/PI,220380,4414,"45,56%",--,"71,16%"
Esperantina,PI,Esperantina/PI,220370,40970,"39,18%",--,"28,88%"
Eliseu Martins,PI,Eliseu Martins/PI,220360,4377,"5,39%",--,"7,75%"
Elesbão Veloso,PI,Elesbão Veloso/PI,220350,13607,"17,58%",--,--
Dom Inocêncio,PI,Dom Inocêncio/PI,220345,9159,--,--,"78,47%"
Domingos Mourão,PI,Domingos Mourão/PI,220342,4075,"70,58%",--,--
Dom Expedito Lopes,PI,Dom Expedito Lopes/PI,220340,6320,"30,09%",--,"5,62%"
Dirceu Arcoverde,PI,Dirceu Arcoverde/PI,220335,7054,"68,97%",--,--
Demerval Lobão,PI,Demerval Lobão/PI,220330,16352,"14,37%",--,"29,97%"
Curral Novo do Piauí,PI,Curral Novo do Piauí/PI,220327,5073,"85,51%",--,0%
Curralinhos,PI,Curralinhos/PI,220325,4413,--,--,"0,39%"
Currais,PI,Currais/PI,220323,4854,"0,45%",--,"64,26%"
Curimatá,PI,Curimatá/PI,220320,11270,"26,10%",--,"35,49%"
Cristino Castro,PI,Cristino Castro/PI,220310,10503,"31,36%",--,"5,07%"
Cristalândia do Piauí,PI,Cristalândia do Piauí/PI,220300,7356,"89,98%",--,--
Coronel José Dias,PI,Coronel José Dias/PI,220285,4250,"47,32%",--,"39,29%"
Conceição do Canindé,PI,Conceição do Canindé/PI,220280,4932,"40,11%",--,--
Colônia do Piauí,PI,Colônia do Piauí/PI,220277,6994,"55,78%",--,"64,44%"
Colônia do Gurguéia,PI,Colônia do Gurguéia/PI,220275,6150,"61,33%",--,"40,50%"
Coivaras,PI,Coivaras/PI,220273,4117,"12,22%",--,"73,77%"
Cocal dos Alves,PI,Cocal dos Alves/PI,220272,6386,"4,95%",--,"57,72%"
Cocal de Telha,PI,Cocal de Telha/PI,220271,4911,"0,24%",--,"38,91%"
Cocal,PI,Cocal/PI,220270,28212,"71,20%",--,--
Caxingó,PI,Caxingó/PI,220265,5496,"1,75%",--,"54,51%"
Castelo do Piauí,PI,Castelo do Piauí/PI,220260,19288,"34,29%",--,"48,15%"
Caraúbas do Piauí,PI,Caraúbas do Piauí/PI,220253,5630,"0,07%",--,"30,73%"
Caracol,PI,Caracol/PI,220250,10318,"81,40%",--,"32,16%"
Capitão Gervásio Oliveira,PI,Capitão Gervásio Oliveira/PI,220245,3974,--,--,--
Capitão de Campos,PI,Capitão de Campos/PI,220240,11100,"70,06%",--,--
Canto do Buriti,PI,Canto do Buriti/PI,220230,19365,"30,13%",--,"39,28%"
Canavieira,PI,Canavieira/PI,220225,3414,"43,20%",--,"55,74%"
Campo Maior,PI,Campo Maior/PI,220220,45793,"6,58%",--,"22,31%"
Campo Largo do Piauí,PI,Campo Largo do Piauí/PI,220217,7419,--,--,"57,95%"
Campo Alegre do Fidalgo,PI,Campo Alegre do Fidalgo/PI,220211,4616,--,--,"73,98%"
Campinas do Piauí,PI,Campinas do Piauí/PI,220210,4938,"60,15%",--,--
Caldeirão Grande do Piauí,PI,Caldeirão Grande do Piauí/PI,220209,5503,--,--,--
